No.,Zone Name,Zone Channel Member,Zone Channel Member RX Frequency,Zone Channel Member TX Frequency,A Channel,A Channel RX Frequency,A Channel TX Frequency,B Channel,B Channel RX Frequency,B Channel TX Frequency,Zone Hide 
11,SM7 Ovriga,Algutsrum 1 SE|Algutsrum 2 I|Algutsrum 3 SE|Bredaryd|Borgholm 1 SE|Borgholm 2 SE|Borgholm 3 LS|Bruzaholm|Boda SE|Ekenassjon 1 H|Ekenassjon 2|Eksjo|Emmaboda 1|Emmaboda 2|Farjestaden LSE|Hillerstorp|Hultsfred|Huskvarna|Jonkoping 2|Jonkoping 3|Jonkoping 4 S|Karlshamn|Karlskrona 1|Karlskrona 2|Linderod I|Ljungby SE|Moheda SE|Morbylanga SE|Nybro|Nassjo 1|Nassjo 2|Nassjo 3|Nassjo 4|Olofstrom 1 E|Olofstrom 2 I|Oskarshamn 1|Oskarshamn 2|Spjutsbygd 1 S|Sodra_Vi 1|Sodra_Vi 2 LAE|Solvesborg L|Vetlanda 1|Vetlanda 2|Varnamo 1|Vastervik 1|Vastervik 2|Vaxjo 1 SE|Vaxjo 2,145.60000|434.55000|434.60000|145.68750|145.66250|434.77500|145.31250|434.60000|145.75000|144.85000|145.71250|434.56250|145.77500|434.78750|145.23750|434.60000|145.76250|434.75000|145.75000|434.97500|145.70000|434.92500|145.75000|434.75000|145.58750|145.72500|145.63750|145.62500|145.68750|145.58750|145.65000|434.85000|434.90000|145.70000|434.71250|145.72500|434.72500|145.72500|434.66250|433.50000|434.40000|145.62500|434.62500|145.60000|145.67500|434.67500|145.67500|434.70000,145.00000|432.55000|432.60000|145.08750|145.06250|432.77500|145.31250|432.60000|145.15000|144.85000|145.11250|432.56250|145.17500|432.78750|145.23750|432.60000|145.16250|432.75000|145.15000|432.97500|145.10000|432.92500|145.15000|432.75000|144.98750|145.12500|145.03750|145.02500|145.08750|144.98750|145.05000|432.85000|432.90000|145.10000|432.71250|145.12500|432.72500|145.12500|432.66250|433.50000|434.40000|145.02500|432.62500|145.00000|145.07500|432.67500|145.07500|432.70000,Algutsrum 1 SE,145.60000,145.00000,Algutsrum 2 I,434.55000,432.55000,0
12,JW,Svalbard,145.60000,145.00000,Svalbard,145.60000,145.00000,Svalbard,145.60000,145.00000,0
13,LA,Narvik|Mosjoen 1|Moi|Mo_i_Rana 1|Kongsvinger 2|Kongsvinger 1|Kongsberg 1|Kolsas|Hvittingen|Hurdal|Haueheia|Harstad|Grimstad I|Geilo|Follo 1|Fauske|Egersund 2|Drammen 1|Bronnoysund|Bergen 2 E|Bardufoss|Aasbygda|Aamot|Aalgaard|Arendal|Barum|Kristianstad 4|Oppegaard|Alvdalen 2|Vesteralen|Verdal 2 L|Raufoss|Vangsasen|Tromso 5|Tromso 4|Tromso 3|Roverkollen|Torseterkampen|Tonsberg|S._Sunnmore E|Sunnhordland|Sarpsborg|Skotterud L|Skien 4|Skien 3|Skien 2|Sandnessjoen 2|Sandnessjoen 1|Sandefjord 2|Sandefjord 1|Skien 1|Rodoy LI|Risor|Stavanger 2|Ralingen 2 E|Ralingen 1|Oslo 3|Oslo 2|Oslo 1 E|Stokke|Oppdal|Notodden 2 L|Notodden 1|Nesodden|Nesna LI|Tromso 2|Moss E|Mosjoen 2 LI|Verdal|Mo_i_Rana 3 LI|Mo_i_Rana 2 E|Meloy LE|Larvik L|Kvelde|Kristianstad 3|Kragero|Kongsvinger 3|Kongsberg 3|Kongsberg 2|Kirkenes|Hovassfjell|Horten|Holmestrand|Hokasen 3|Hokasen 2|Hokasen 1|Haugesund 2|Haugesund 1|Harpefoss|Gaustatoppen|Gardermoen|Fredrikstad 3 L|Fredrikstad 2|Fredrikstad 1|Fosen|Follo 3|Follo 2|Eirefjell|Eidsvoll|Drammen 3|Drammen 2|Bodo I|Bjerkreim|Bergen 3,434.75000|434.82500|434.86250|434.85000|434.71250|434.62500|434.83750|434.92500|434.65000|434.87500|145.16250|434.80000|434.70000|434.65000|434.90000|434.95000|145.72500|434.52500|434.97500|145.75000|434.65000|434.81250|434.70000|434.95000|145.70000|434.92500|145.60000|434.75000|145.60000|145.60000|145.45000|434.97500|434.70000|434.72500|145.75000|145.62500|434.88750|434.75000|434.95000|145.72500|145.62500|434.81250|144.66250|434.58750|434.61250|145.65000|145.72500|434.80000|145.75000|434.80000|434.51250|145.31250|145.77500|145.77500|145.76250|434.82500|145.60000|434.77500|434.97500|434.55000|145.77500|144.67500|434.92500|145.67500|433.95000|434.75000|145.66250|145.28750|434.60000|145.33750|145.67500|145.28750|144.65000|434.67500|145.75000|434.85000|145.65000|434.62500|145.70000|145.75000|145.60000|145.62500|434.65000|434.56250|434.65000|145.71250|434.67500|434.75000|145.72500|145.61250|145.73750|145.25000|434.70000|145.68750|434.62500|434.75000|145.78750|145.71250|434.87500|434.72500|145.72500|145.75000|145.71250|145.77500,432.75000|432.82500|432.86250|432.85000|432.71250|432.62500|432.83750|432.92500|432.65000|432.87500|145.76250|432.80000|432.70000|432.65000|432.90000|432.95000|145.12500|432.52500|432.97500|145.15000|432.65000|432.81250|432.70000|432.95000|145.10000|432.92500|145.00000|432.75000|145.00000|145.00000|145.45000|432.97500|434.70000|432.72500|145.15000|145.02500|432.88750|432.75000|432.95000|145.12500|145.02500|432.81250|144.66250|432.58750|432.61250|145.05000|145.12500|432.80000|145.15000|432.80000|432.51250|145.31250|145.17500|145.17500|145.16250|432.82500|145.00000|432.77500|432.97500|432.55000|145.17500|144.67500|432.92500|145.07500|433.95000|432.75000|145.06250|145.28750|432.60000|145.33750|145.07500|145.28750|144.65000|432.67500|145.15000|432.85000|145.05000|432.62500|145.10000|145.15000|145.00000|145.02500|432.65000|432.56250|432.65000|145.11250|432.67500|432.75000|145.12500|145.01250|145.13750|145.25000|432.70000|145.08750|432.62500|432.75000|145.18750|145.11250|432.87500|432.72500|145.12500|145.15000|145.11250|145.17500,Narvik,434.75000,432.75000,Mosjoen 1,434.82500,432.82500,0
14,OH0,Dalkarby|Jomala,145.67500|434.55000,145.07500|432.55000,Dalkarby,145.67500,145.07500,Jomala,434.55000,432.55000,0
15,OH1,Jamijarvi|Kaarina|Kankaanpaa|Kiukainen|Kokemaki|Koski|Parainen|Rauma|Salo 1|Salo 2|Turku|Uusikaupunki,434.97500|145.65000|145.62500|145.72500|434.65000|434.92500|434.85000|434.67500|145.70000|434.70000|145.77500|434.82500,432.97500|145.05000|145.02500|145.12500|433.05000|432.92500|433.25000|433.07500|145.10000|433.10000|145.17500|433.22500,Jamijarvi,434.97500,432.97500,Kaarina,145.65000,145.05000,0
16,OH2,Artjarvi|Espoo 1|Espoo 2|Espoo 3|Espoo 4|Helsinki 1|Helsinki 2|Jarvenpaa|Lohja 2|Lohja 3|Loviisa 1|Loviisa 2|Porvoo 2|Vantaa 2,434.77500|434.51250|145.78750|145.62500|434.82500|434.57500|145.75000|434.65000|145.60000|434.72500|145.60000|434.70000|434.87500|434.90000,433.17500|432.51250|145.18750|145.02500|432.82500|432.57500|145.15000|432.65000|145.00000|433.12500|145.00000|433.10000|432.87500|432.90000,Artjarvi,434.77500,433.17500,Espoo 1,434.51250,432.51250,0
17,OH3,Erkyla|Forssa|Hameenlinna 2|Hameenlinna 3|Lahti 1|Lahti 2|Lahti 3|Riihimaki|Tampere 2 F|Tampere 3 F|Tampere 4|Tampere 5|Vesijako|Virrat,145.72500|145.65000|145.67500|434.62500|434.55000|145.77500|434.60000|434.67500|434.52500|434.55000|145.75000|434.85000|434.80000|434.90000,145.12500|145.05000|145.07500|432.62500|432.55000|145.17500|432.60000|432.67500|432.52500|432.55000|145.15000|432.85000|432.80000|432.90000,Erkyla,145.72500,145.12500,Forssa,145.65000,145.05000,0
18,OH4,Mikkeli 1|Mikkeli 2|Pieksamaki 1|Pieksamaki 2|Savonlinna,434.75000|145.75000|434.80000|145.67500|145.62500,433.15000|145.15000|432.80000|145.07500|145.02500,Mikkeli 1,434.75000,433.15000,Mikkeli 2,145.75000,145.15000,0
19,OH5,Hamina|Joutseno|Kotka 2|Kouvola 2|Kuusankoski|Lappeenranta 2,434.92500|145.77500|145.65000|434.85000|145.70000|434.77500,433.32500|145.17500|145.05000|433.25000|145.10000|432.77500,Hamina,434.92500,433.32500,Joutseno,145.77500,145.17500,0
20,OH6,Jakobstad 1 E|Jakobstad 2|Jamsa 2|Jamsankoski|Jyvaskyla 2|Jyvaskyla 3|Jyvaskyla 4|Kauhajoki|Kaustinen|Kokkola 2|Kokkola 3|Kokemaki|Lapua|Narpio 1|Narpio 2|Pihtipudas|Saarijarvi F|Seinajoki 1|Seinajoki 2|Teuva|Vaasa 1|Vaasa 2,145.62500|434.70000|145.60000|434.70000|145.70000|434.65000|434.72500|434.87500|434.90000|145.70000|434.80000|434.65000|145.65000|145.70000|434.80000|145.77500|434.51250|434.67500|145.67500|434.92500|434.75000|145.75000,145.02500|432.70000|145.00000|433.10000|145.10000|433.05000|432.72500|433.27500|432.90000|145.10000|432.80000|433.05000|145.05000|145.10000|433.20000|145.17500|432.51250|432.67500|145.07500|433.32500|432.75000|145.15000,Jakobstad 1 E,145.62500,145.02500,Jakobstad 2,434.70000,432.70000,0
