No.,Receive Frequency,Transmit Frequency,Color Code,Slot,Name
120,434.53750,432.53750,1,Slot2,Jyvaskyla
121,434.56250,432.56250,1,Slot2,Jamsa Himos
122,145.57500,144.97500,1,Slot2,Kokkola
123,434.56250,432.56250,1,Slot2,Kotka
124,434.58750,432.58750,1,Slot2,Kouvola
125,145.72500,145.12500,1,Slot2,Kuusamo
126,434.55000,432.55000,1,Slot2,Lahti
127,434.53750,432.53750,1,Slot2,Lappeenranta
128,145.57500,144.97500,1,Slot2,Lohja
129,434.75000,432.75000,1,Slot2,Mikkeli
130,434.56250,432.56250,1,Slot2,Nurmijarvi
131,145.63750,145.03750,1,Slot2,Oulu 1
132,434.57500,432.57500,1,Slot2,Oulu 2
133,434.56250,432.56250,1,Slot2,Pori
134,434.53750,432.53750,1,Slot2,Porvoo
135,434.55000,432.55000,1,Slot2,Raasepori
136,145.57500,144.97500,1,Slot2,Tampere
137,434.52500,432.52500,1,Slot2,Tampere Hervanta
138,434.55000,432.55000,1,Slot2,Tampere Tesoma
139,145.78750,145.18750,1,Slot2,Tervola
140,434.52500,432.52500,1,Slot2,Vantaa
141,434.56250,432.56250,1,Slot2,Viitasaari
142,434.90000,432.90000,1,Slot2,Virrat
143,145.58750,144.98750,1,Slot2,Ylivieska
144,434.51250,432.51250,1,Slot2,Aanekoski
145,434.57500,432.57500,12,Slot2,Aarhus S
146,434.71250,432.71250,11,Slot2,Frederikshavn
147,434.70000,432.70000,14,Slot2,Gorlose
148,434.62500,432.62500,14,Slot2,Herlev
149,434.63750,432.63750,9,Slot2,Regnemark
150,434.63750,432.63750,4,Slot2,Smedjebacken
151,434.88750,432.88750,6,Slot2,Dingle
152,434.90000,432.90000,1,Slot2,Malmo 1
153,434.63750,432.63750,0,Slot2,Haninge 4
154,434.75000,432.75000,0,Slot2,Haugesund
155,434.85000,432.85000,14,Slot2,Gilleleje
156,434.85000,432.85000,0,Slot2,Mo_i_Rana
157,434.71250,432.71250,7,Slot2,Olofstrom 2 I
158,145.57500,144.97500,7,Slot2,Gladsax 1 I
159,433.20000,433.20000,0,Slot2,Eksharad HI
160,432.50000,432.50000,1,Slot2,Sunne 2 HI
161,434.51250,432.51250,1,Slot2,Saarijarvi F
162,434.70000,434.70000,0,Slot2,Vangsasen
163,434.57500,432.57500,0,Slot2,Helsinki 1
164,434.96250,432.96250,0,Slot2,Stockholm
165,434.63750,432.63750,0,Slot2,Helsingor 2
166,434.58750,432.58750,7,Slot2,Lund 2
167,434.53750,432.53750,6,Slot2,Alingsas 3
168,434.37500,434.37500,5,Slot2,Uppsala 3 H
169,434.70000,432.70000,3,Slot2,Gavle 1
170,434.55000,432.55000,1,Slot2,Jomala
171,434.67500,432.67500,11,Slot2,Vodskov
172,434.62500,432.62500,11,Slot2,Fredrikstad 4
173,434.68750,432.68750,11,Slot2,Aalborg 3 +
174,433.56250,433.56250,0,Slot2,Skene 2 HI
175,434.52500,432.52500,7,Slot2,Kristianstad 2
176,434.56250,432.56250,7,Slot2,Eksjo
177,434.80000,432.80000,4,Slot2,Karlskoga 2
178,434.85000,432.85000,6,Slot2,Ockero 2
179,434.77500,432.77500,7,Slot2,Malmo 2
180,434.97500,432.97500,7,Slot2,Jonkoping 3
181,434.52500,432.52500,7,Slot2,Savsjo
182,434.70000,432.70000,0,Slot2,Finspang 3
183,434.78750,432.78750,0,Slot2,Sodertalje 3
184,434.92500,432.92500,4,Slot2,Nusnas
185,434.66250,432.66250,7,Slot2,Sodra_Vi
186,145.28750,145.28750,5,Slot2,Stigtomta LF
187,144.85000,144.85000,7,Slot2,Ekenassjon 1 H
188,434.75000,432.75000,0,Slot2,Haugesund 1
189,434.90000,432.90000,0,Slot2,Virrat
190,434.85000,432.85000,14,Slot2,Gilleleje
191,434.85000,432.85000,0,Slot2,Mo_i_Rana 1
192,434.92500,432.92500,7,Slot2,Sjobo
