"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"16","Brottby 2","434.80000","432.80000","D+A TX D","Mid","12.5K","77.0","77.0","Regional SM0","Group Call","2400","N0CALL First_name","Always","CTCSS/DCS","Off","1","1","1","Off","0","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"17","Dalaro","434.83750","432.83750","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","0","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"18","Hagsatra","434.42500","434.42500","A-Analog","Mid","12.5K","91.5","91.5","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"19","Haninge 1","145.68750","145.08750","A-Analog","Mid","12.5K","77.0","77.0","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"20","Haninge 2","434.75000","432.75000","A-Analog","Mid","12.5K","77.0","77.0","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"21","Haninge 3","434.77500","432.77500","A-Analog","Mid","12.5K","77.0","77.0","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"22","Huddinge","434.60000","432.60000","A-Analog","Mid","12.5K","123.0","123.0","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"23","Ingaro 1","145.22500","145.22500","A-Analog","Mid","12.5K","Off","91.5","Regional SM0","Group Call","2400","N0CALL First_name","Off","Carrier","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"24","Ingaro 2 S","145.77500","145.17500","A-Analog","Mid","12.5K","77.0","77.0","Regional SM0","Group Call","2400","N0CALL First_name","Off","CTCSS/DCS","Off","1","1","1","Off","1","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
"25","Johanneshov","434.92500","432.92500","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","0","2","SM0","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0"
