"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind","TxCC"
"2010","Dordrecht","438.08750","430.48750","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","2","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","2"
"2011","Gennep","438.02500","430.42500","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","1","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","1"
"2012","Breda","430.32500","431.92500","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","1","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","1"
"2013","Bladel","438.30000","430.70000","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","1","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","1"
"2014","Maastricht","438.15000","430.55000","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","3","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","3"
"2015","Heerlen - Noord","438.26250","430.66250","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","2","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","2"
"2016","Kerkrade","438.37500","430.77500","D-Digital","Mid","12.5K","Off","Off","Netherlands","Group Call","204","N0CALL First_name","Always","Carrier","Off","1","1","1","Off","4","2","PA","Default","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","0","0","0","0","1","0","0","0","4"
"2017","Leiden","430.05000","431.65000","A-Analog","Mid","12.5K","88.5","88.5","Sweden","Group Call","240","N0CALL First_name","Off","Carrier","Off","1","1","1","Off","1","1","PA","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0","1"
"4001","Channel VFO A","145.50000","145.50000","A-Analog","Mid","12.5K","Off","Off","Sweden","Group Call","240","N0CALL First_name","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0","1"
"4002","Channel VFO B","433.50000","433.50000","A-Analog","Mid","12.5K","Off","Off","Sweden","Group Call","240","N0CALL First_name","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","255","255","0","0","0","0","0","0","1"
